,interaction_id,interaction_type,id_bacterium,acc_bacterium,bact_strain,bact_specie,bact_genus,id_phage,acc_phage,phage_name
1179,10934,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6018,NA,Mycobacterium_phage_OlanP
1180,10935,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6019,NA,Mycobacterium_phage_OldBen
1181,10937,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6021,JN192463,Mycobacterium_phage_Oline
1182,10938,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6022,NA,Mycobacterium_phage_Olive
1183,10939,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6023,NA,Mycobacterium_phage_OliverWalter
1184,10940,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6024,NA,Mycobacterium_phage_Ollie
1185,10941,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6025,NA,Mycobacterium_phage_OlympiaSaint
1186,10943,1,4663,NZ_CP014196.1,ATCC 21022,Arthrobacter sp.,Arthrobacter,6027,NA,Arthrobacter_phage_OMalley
1187,10944,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6028,AY129338,Mycobacterium_phage_Omega
1188,10945,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6029,KM363596,Mycobacterium_phage_Omnicron
1189,10946,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6030,KU998245,Gordonia_phage_OneUp
1190,10947,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6031,NA,Mycobacterium_phage_Oogway
1191,10948,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6032,JF704109,Mycobacterium_phage_Oosterbaan
1192,10949,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6033,NA,Mycobacterium_phage_Opia
1193,10950,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6034,JF957059,Mycobacterium_phage_Optimus
1194,10951,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6035,KR080203,Mycobacterium_phage_OrangeOswald
1195,10952,1,4677,NZ_CP016594.1,3612,Gordonia terrae,Gordonia,6036,KU998253,Gordonia_phage_Orchid
1196,10953,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6037,DQ398046,Mycobacterium_phage_Orion
1197,10954,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6038,NA,Mycobacterium_phage_OrionPax
1198,10955,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6039,NA,Mycobacterium_phage_Oscar
1199,10956,1,4648,NC_018289.1,MC2 155,Mycobacterium smegmatis,Mycobacterium,6040,JN006064,Mycobacterium_phage_OSmaximus
