,acc_bact,design_phage,id_bact,id_phage,interaction_id_old_db
228,NZ_CP014196.1,Arthrobacter_phage_Brent,153,2171,9742
229,NZ_CP014196.1,Arthrobacter_phage_Breylor17,153,2172,9743
230,NC_018289.1,Mycobacterium_phage_Bricole,5859,2173,9744
231,NZ_CP016594.1,Gordonia_phage_BritBrat,1869,5367,9745
232,NC_018289.1,Mycobacterium_phage_Briton15,5859,2174,9746
233,NC_018289.1,Mycobacterium_phage_Brocalys,5859,5368,9747
234,NC_018289.1,Mycobacterium_phage_Broseidon,5859,2176,9768
235,NC_018289.1,Mycobacterium_phage_Brownie5,5859,2177,9769
236,NC_018289.1,Mycobacterium_phage_BruceB,5859,2178,9770
237,NZ_JNHS00000000.1,Propionibacterium_phage_BruceLethal,5731,5369,9771
238,NC_018289.1,Mycobacterium_phage_Bruin,5859,5370,9772
239,NC_018289.1,Mycobacterium_phage_Bruiser,5859,2179,9773
240,NC_018289.1,Mycobacterium_phage_Brujita,5859,2180,9774
241,NC_018289.1,Mycobacterium_phage_Bruns,5859,2181,9775
242,NC_018289.1,Mycobacterium_phage_Brusacoram,5859,5371,9776
243,NC_018289.1,Mycobacterium_phage_Bubbles123,5859,2184,9785
244,NC_018289.1,Mycobacterium_phage_BubbleTrouble,5859,2185,9786
245,NC_018289.1,Mycobacterium_phage_Buck,5859,2186,9787
246,NC_018289.1,Mycobacterium_phage_Buckeye,5859,2187,9788
247,NC_018289.1,Mycobacterium_phage_Bud,5859,2188,9789
248,NZ_CP016594.1,Gordonia_phage_Buggaboo,1869,2189,9790
249,NC_018289.1,Mycobacterium_phage_Bugsy,5859,2190,9791
250,NC_018289.1,Mycobacterium_phage_Bumblebee11,5859,2191,9792
251,NC_018289.1,Mycobacterium_phage_Bunnies,5859,2192,9793
252,NC_018289.1,Mycobacterium_phage_Burger,5859,2193,9794
253,NZ_CP016594.1,Gordonia_phage_Butterball,1869,2194,9795
254,NC_018289.1,Mycobacterium_phage_Butters,5859,5372,9796
255,NC_018289.1,Mycobacterium_phage_Butterscotch,5859,2195,9797
256,NC_018289.1,Mycobacterium_phage_Buttons,5859,2196,9798
257,NC_018289.1,Mycobacterium_phage_BuzzBuzz,5859,2197,9799
258,NC_018289.1,Mycobacterium_phage_BuzzLyseyear,5859,5373,9800
259,NC_018289.1,Mycobacterium_phage_Bxb1,5859,2198,9801
260,NC_018289.1,Mycobacterium_phage_Bxz1,5859,5374,9802
261,NC_018289.1,Mycobacterium_phage_Bxz2,5859,2199,9803
262,NC_018289.1,Mycobacterium_phage_Byougenkin,5859,2200,9804
263,NZ_CP014475.1,Mycobacterium_phage_Cabrinians,61,5375,9806
264,NC_018289.1,Mycobacterium_phage_Cactus,5859,2202,9807
265,NC_018289.1,Mycobacterium_phage_CactusRose,5859,2203,9808
266,NC_018289.1,Mycobacterium_phage_Caelakin,5859,2204,9809
267,NZ_APVM00000000.1,Streptomyces_phage_Caelum,5787,2205,9810
268,NC_018289.1,Mycobacterium_phage_Cain,5859,2206,9811
269,NC_018289.1,Mycobacterium_phage_Cali,5859,2207,9812
270,NZ_CP014196.1,Arthrobacter_phage_CallieOMalley,153,2208,9814
271,NC_018289.1,Mycobacterium_phage_Cambiare,5859,5377,9815
272,NC_018289.1,Mycobacterium_phage_Camperdownii,5859,2209,9816
273,NC_018289.1,Mycobacterium_phage_Cannibal,5859,2210,9817
274,NZ_CP014196.1,Arthrobacter_phage_Canowicakte,153,2211,9818
275,NZ_CP014196.1,Arthrobacter_phage_CapnMurica,153,2212,9819
276,NC_018289.1,Mycobacterium_phage_Capricorn,5859,2213,9820
277,NZ_CP016594.1,Gordonia_phage_CaptainKirk2,1869,5378,9821
278,NC_018289.1,Mycobacterium_phage_CaptainTrips,5859,5379,9822
279,NC_018289.1,Mycobacterium_phage_Carcharodon,5859,5380,9823
280,NZ_CP016594.1,Gordonia_phage_CarolAnn,1869,5381,9824
281,NC_018289.1,Mycobacterium_phage_Catalina,5859,5382,9825
282,NC_018289.1,Mycobacterium_phage_Catdawg,5859,5383,9826
283,NC_018289.1,Mycobacterium_phage_Catera,5859,5384,9827
284,NZ_CP014196.1,Arthrobacter_phage_Caterpillar,153,2214,9828
285,NC_018289.1,Mycobacterium_phage_Cborch11,5859,2215,9829
286,NC_018289.1,Mycobacterium_phage_Cedasite,5859,2216,9830
287,NC_018289.1,Mycobacterium_phage_Centaur,5859,2217,9831
288,NC_018289.1,Mycobacterium_phage_CentreCat,5859,2218,9832
289,NC_018289.1,Mycobacterium_phage_Cerasum,5859,5385,9833
290,NC_018289.1,Mycobacterium_phage_Cerulean,5859,2219,9834
291,NZ_CP014196.1,Arthrobacter_phage_CGermain,153,2220,9835
292,NC_018289.1,Mycobacterium_phage_Chadwick,5859,5386,9837
293,NC_018289.1,Mycobacterium_phage_Chah,5859,2222,9838
294,NC_018289.1,Mycobacterium_phage_ChampagnePapi,5859,2223,9839
295,NC_018289.1,Mycobacterium_phage_Chance64,5859,2224,9840
296,NC_018289.1,Mycobacterium_phage_Chancellor,5859,2225,9841
297,NC_018289.1,Mycobacterium_phage_Chandler,5859,2226,9842
298,NC_018289.1,Mycobacterium_phage_Changeling,5859,2227,9843
299,NC_018289.1,Mycobacterium_phage_Charlie,5859,5387,9844
300,NC_018289.1,Mycobacterium_phage_CharlieB,5859,2228,9845
301,NC_018289.1,Mycobacterium_phage_CharlieGBrown,5859,2229,9846
302,NC_018289.1,Mycobacterium_phage_Charm,5859,2230,9847
303,NC_018289.1,Mycobacterium_phage_Che12,5859,2231,9848
304,NC_018289.1,Mycobacterium_phage_Che8,5859,2232,9849
305,NC_018289.1,Mycobacterium_phage_Che9c,5859,2233,9850
306,NC_018289.1,Mycobacterium_phage_Che9d,5859,2234,9851
307,NZ_CP014196.1,Arthrobacter_phage_Cheesy,153,2235,9852
308,NC_018289.1,Mycobacterium_phage_CheetO,5859,2236,9853
309,NC_018289.1,Mycobacterium_phage_Cheetobro,5859,5388,9854
310,NZ_CP016594.1,Gordonia_phage_Chelms,1869,2237,9855
311,NC_018289.1,Mycobacterium_phage_Cherrybomb426,5859,2238,9856
