organism_ptr_id,designation,baltimore_classification_id
2448,Mycobacterium_phage_Fascinus,NULL
2449,Mycobacterium_phage_Faze9,NULL
2450,Gordonia_phage_FelixAlejandro,NULL
2451,Mycobacterium_phage_Fenn,NULL
2452,Gordonia_phage_Fenry,NULL
2453,Mycobacterium_phage_Fibonacci,NULL
2454,Mycobacterium_phage_Filuzino,NULL
2455,Rhodococcus_phage_Finch,NULL
2456,Mycobacterium_phage_Findley,NULL
2457,Mycobacterium_phage_Finemlucis,NULL
2458,Mycobacterium_phage_Fionnbharth,NULL
2459,Gordonia_phage_Fireball,NULL
2460,Mycobacterium_phage_Firecracker,NULL
2461,Mycobacterium_phage_Firehouse51,NULL
2462,Mycobacterium_phage_FireRed,NULL
2463,Mycobacterium_phage_FiringLine,NULL
2464,Mycobacterium_phage_Flabslab,NULL
2465,Gordonia_phage_Flakey,NULL
2466,Gordonia_phage_Flapper,NULL
2467,Mycobacterium_phage_Flare16,NULL
2468,Mycobacterium_phage_Flathead,NULL
2469,Mycobacterium_phage_Flaverint,NULL
2470,Mycobacterium_phage_Florean,NULL
2471,Mycobacterium_phage_FluffyNinja,NULL
2472,Arthrobacter_phage_Fluke,NULL
2473,Mycobacterium_phage_Flux,NULL
2474,Mycobacterium_phage_ForGetIt,NULL
2475,Mycobacterium_phage_Forsytheast,NULL
2476,Mycobacterium_phage_Fortunato,NULL
2477,Gordonia_phage_Forza,NULL
2478,Gordonia_phage_Fosterous,NULL
2479,Mycobacterium_phage_FoxtrotP1,NULL
2480,Mycobacterium_phage_Frankie,NULL
2481,Arthrobacter_phage_Franzy,NULL
2482,Mycobacterium_phage_FrayBell,NULL
2483,Mycobacterium_phage_Fred313,NULL
2484,Mycobacterium_phage_Frederick,NULL
2485,Mycobacterium_phage_FrenchFry,NULL
2486,Mycobacterium_phage_FriarPreacher,NULL
2487,Mycobacterium_phage_Fringe,NULL
2488,Mycobacterium_phage_Froghopper,NULL
2489,Mycobacterium_phage_Frosty24,NULL
2490,Mycobacterium_phage_Fruitloop,NULL
2491,Gordonia_phage_Fryberger,NULL
2492,Mycobacterium_phage_FugateOSU,NULL
2493,Gordonia_phage_Fugax,NULL
2494,Mycobacterium_phage_Fulbright,NULL
2495,Mycobacterium_phage_Funston,NULL
2496,Mycobacterium_phage_Fushigi,NULL
2497,Propionibacterium_phage_G4,NULL
2498,Mycobacterium_phage_Gabriel,NULL
2499,Mycobacterium_phage_Gadost,NULL
2500,Mycobacterium_phage_Gage,NULL
2501,Mycobacterium_phage_GageAP,NULL
2502,Mycobacterium_phage_Galactic,NULL
2503,Arthrobacter_phage_Galaxy,NULL
2504,Gordonia_phage_Gambino,NULL
2505,Mycobacterium_phage_GardenSalsa,NULL
2506,Mycobacterium_phage_Gareth,NULL
2507,Mycobacterium_phage_Gattaca,NULL
2508,Mycobacterium_phage_GaugeLDP,NULL
2509,Gordonia_phage_GEazy,NULL
2510,Mycobacterium_phage_Gemini,NULL
2511,Mycobacterium_phage_Gemma,NULL
2512,Mycobacterium_phage_GeneCoco,NULL
2513,Mycobacterium_phage_GenevaB15,NULL
2514,Gordonia_phage_Geodirt,NULL
2515,Mycobacterium_phage_George,NULL
2516,Mycobacterium_phage_Georgie2,NULL
2517,Mycobacterium_phage_Geraldini,NULL
2518,Mycobacterium_phage_Geralt,NULL
2519,Gordonia_phage_Getalong,NULL
2520,Mycobacterium_phage_Gex,NULL
2521,Mycobacterium_phage_Ghost,NULL
2522,Mycobacterium_phage_Gideon,NULL
2523,Mycobacterium_phage_GingkoMaracino,NULL
2524,Mycobacterium_phage_Girafales,NULL
2525,Mycobacterium_phage_Girr,NULL
2526,Mycobacterium_phage_Gladiator,NULL
2527,Mycobacterium_phage_Glass,NULL
2528,Arthrobacter_phage_Glenn,NULL
2529,Mycobacterium_phage_Glexan,NULL
2530,Mycobacterium_phage_Godines,NULL
2531,Gordonia_phage_GodonK,NULL
2532,Mycobacterium_phage_Goku,NULL
2533,Mycobacterium_phage_Goldilocks,NULL
2534,Rhodococcus_phage_Gollum,NULL
2535,Mycobacterium_phage_Gomashi,NULL
2536,Mycobacterium_phage_Gompeii16,NULL
2537,Mycobacterium_phage_GooberAzure,NULL
